workload,wl_code,config,instr_verif_lat,data_verif_lat,gpu_tot_sim_cycle,gpu_tot_ipc,avg_mrq_latency,avg_instr_fetch_latency,dram_instr_accesses,dram_data_accesses,dram_total_accesses,dram_instr_pct,dram_data_pct,cycle_overhead_pct,simlog_path,summary_path
OpenPCDet,WL05,cfg1,0,0,90783.0,3967.5022,21.0,328.0,180,800000,800180,0.022494938638806267,99.9775050613612,0.0,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL05/cfg1/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL05/cfg1/summary.txt
OpenPCDet,WL05,cfg2,20,0,91555.0,3934.0479,18.0,341.0,180,800000,800180,0.022494938638806267,99.9775050613612,0.8503794763336748,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL05/cfg2/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL05/cfg2/summary.txt
OpenPCDet,WL05,cfg3,10,10,91402.0,3940.6333,20.0,334.0,180,800000,800180,0.022494938638806267,99.9775050613612,0.681845720013659,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL05/cfg3/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL05/cfg3/summary.txt
OpenPCDet,WL05,cfg4,20,20,91555.0,3934.0479,18.0,341.0,180,800000,800180,0.022494938638806267,99.9775050613612,0.8503794763336748,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL05/cfg4/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL05/cfg4/summary.txt
GASAL2,WL10,cfg1,0,0,29433.0,297.0912,8.0,310.0,48,92718,92766,0.05174309553069013,99.9482569044693,0.0,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL10/cfg1/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL10/cfg1/summary.txt
GASAL2,WL10,cfg2,20,0,29610.0,295.3152,8.0,323.0,48,92718,92766,0.05174309553069013,99.9482569044693,0.6013658138823769,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL10/cfg2/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL10/cfg2/summary.txt
GASAL2,WL10,cfg3,10,10,30076.0,290.7396,8.0,318.0,48,92718,92766,0.05174309553069013,99.9482569044693,2.184622702408861,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL10/cfg3/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL10/cfg3/summary.txt
GASAL2,WL10,cfg4,20,20,30616.0,285.6116,8.0,333.0,48,92718,92766,0.05174309553069013,99.9482569044693,4.019298066795773,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL10/cfg4/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL10/cfg4/summary.txt
Clara Genomics,WL11,cfg1,0,0,34188.0,3.5129,7.0,299.0,684,3560,4244,16.116870876531575,83.88312912346842,0.0,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL11/cfg1/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL11/cfg1/summary.txt
Clara Genomics,WL11,cfg2,20,0,34512.0,3.4799,7.0,319.0,684,3560,4244,16.116870876531575,83.88312912346842,0.9477009477009477,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL11/cfg2/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL11/cfg2/summary.txt
Clara Genomics,WL11,cfg3,10,10,34973.0,3.4341,7.0,309.0,684,3560,4244,16.116870876531575,83.88312912346842,2.2961272961272963,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL11/cfg3/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL11/cfg3/summary.txt
Clara Genomics,WL11,cfg4,20,20,35746.0,3.3598,7.0,319.0,684,3560,4244,16.116870876531575,83.88312912346842,4.557154557154557,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL11/cfg4/sim.log,/scratch/nsatish_root/nsatish0/rudraroy/accelsim_exp/sim_results/WL11/cfg4/summary.txt
