workload,wl_code,config,instr_verif_lat,data_verif_lat,gpu_tot_sim_cycle,gpu_tot_ipc,avg_mrq_latency,avg_instr_fetch_latency,dram_instr_accesses,dram_data_accesses,dram_total_accesses,dram_instr_pct,dram_data_pct,cycle_overhead_pct
GPUDrive,WL04,cfg1,0,0,10928.0,56.9722,9.0,349.0,248,58368,58616,0.42,99.58,0.00
GPUDrive,WL04,cfg2,20,0,11259.0,55.2973,9.0,373.0,248,58368,58616,0.42,99.58,3.03
GPUDrive,WL04,cfg3,10,10,11153.0,55.8228,9.0,361.0,248,58368,58616,0.42,99.58,2.06
GPUDrive,WL04,cfg4,20,20,11279.0,55.1992,9.0,374.0,248,58368,58616,0.42,99.58,3.21
OpenPCDet,WL05,cfg1,0,0,90783.0,3967.5022,21.0,328.0,180,800000,800180,0.02,99.98,0.00
OpenPCDet,WL05,cfg2,20,0,91555.0,3934.0479,18.0,341.0,180,800000,800180,0.02,99.98,0.85
OpenPCDet,WL05,cfg3,10,10,91402.0,3940.6333,20.0,334.0,180,800000,800180,0.02,99.98,0.68
OpenPCDet,WL05,cfg4,20,20,91555.0,3934.0479,18.0,341.0,180,800000,800180,0.02,99.98,0.85
GASAL2,WL10,cfg1,0,0,29433.0,297.0912,8.0,310.0,48,92718,92766,0.05,99.95,0.00
GASAL2,WL10,cfg2,20,0,29610.0,295.3152,8.0,323.0,48,92718,92766,0.05,99.95,0.60
GASAL2,WL10,cfg3,10,10,30076.0,290.7396,8.0,318.0,48,92718,92766,0.05,99.95,2.18
GASAL2,WL10,cfg4,20,20,30616.0,285.6116,8.0,333.0,48,92718,92766,0.05,99.95,4.02
Clara Genomics,WL11,cfg1,0,0,34188.0,3.5129,7.0,299.0,684,3560,4244,16.12,83.88,0.00
Clara Genomics,WL11,cfg2,20,0,34512.0,3.4799,7.0,319.0,684,3560,4244,16.12,83.88,0.95
Clara Genomics,WL11,cfg3,10,10,34973.0,3.4341,7.0,309.0,684,3560,4244,16.12,83.88,2.30
Clara Genomics,WL11,cfg4,20,20,35746.0,3.3598,7.0,319.0,684,3560,4244,16.12,83.88,4.56
