workload,wl_code,config,instr_verif_lat,data_verif_lat,gpu_tot_sim_cycle,gpu_tot_ipc,avg_mrq_latency,avg_instr_fetch_latency,dram_instr_accesses,dram_data_accesses,dram_total_accesses,dram_instr_pct,dram_data_pct,cycle_overhead_pct,mrq_lat_overhead_pct,ifetch_lat_overhead_pct
GPUDrive,WL04,cfg1,0,0,6755.0,92.1676,47.0,N/A,0,58368,58368,0.00,100.00,0.00,0.00,0.00
GPUDrive,WL04,cfg2,20,0,6755.0,92.1676,47.0,N/A,0,58368,58368,0.00,100.00,0.00,0.00,0.00
GPUDrive,WL04,cfg3,10,10,6751.0,92.2222,47.0,N/A,0,58368,58368,0.00,100.00,-0.06,0.00,0.00
GPUDrive,WL04,cfg4,20,20,6757.0,92.1403,47.0,N/A,0,58368,58368,0.00,100.00,0.03,0.00,0.00
OpenPCDet,WL05,cfg1,0,0,42168.0,8541.5898,N/A,N/A,0,800000,800000,0.00,100.00,0.00,0.00,0.00
OpenPCDet,WL05,cfg2,20,0,42168.0,8541.5898,N/A,N/A,0,800000,800000,0.00,100.00,0.00,0.00,0.00
OpenPCDet,WL05,cfg3,10,10,42168.0,8541.5898,N/A,N/A,0,800000,800000,0.00,100.00,0.00,0.00,0.00
OpenPCDet,WL05,cfg4,20,20,42168.0,8541.5898,N/A,N/A,0,800000,800000,0.00,100.00,0.00,0.00,0.00
GASAL2,WL10,cfg1,0,0,35023.0,249.6726,7.0,N/A,0,92718,92718,0.00,100.00,0.00,0.00,0.00
GASAL2,WL10,cfg2,20,0,35023.0,249.6726,7.0,N/A,0,92718,92718,0.00,100.00,0.00,0.00,0.00
GASAL2,WL10,cfg3,10,10,35412.0,246.93,7.0,N/A,0,92718,92718,0.00,100.00,1.11,0.00,0.00
GASAL2,WL10,cfg4,20,20,36028.0,242.708,7.0,N/A,0,92718,92718,0.00,100.00,2.87,0.00,0.00
Clara Genomics,WL11,cfg1,0,0,41598.0,2.8872,12.0,N/A,0,3560,3560,0.00,100.00,0.00,0.00,0.00
Clara Genomics,WL11,cfg2,20,0,41598.0,2.8872,12.0,N/A,0,3560,3560,0.00,100.00,0.00,0.00,0.00
Clara Genomics,WL11,cfg3,10,10,42239.0,2.8433,12.0,N/A,0,3560,3560,0.00,100.00,1.54,0.00,0.00
Clara Genomics,WL11,cfg4,20,20,42880.0,2.8008,12.0,N/A,0,3560,3560,0.00,100.00,3.08,0.00,0.00
